Type,WTP
Commercial,160.0
Commercial,160.0
Commercial,160.0
Commercial,160.0
Commercial,
Commercial,160.0
Commercial,200.0
Commercial,
Commercial,160.0
Commercial,200.0
Commercial,160.0
Commercial,160.0
Commercial,160.0
Commercial,160.0
Commercial,200.0
Commercial,160.0
Commercial,160.0
Commercial,
Commercial,100.0
Commercial,
Commercial,160.0
Commercial,150.0
Commercial,160.0
Commercial,160.0
Commercial,
Commercial,200.0
Commercial,200.0
Commercial,100.0
Commercial,100.0
Commercial,160.0
Commercial,200.0
Commercial,
Commercial,
Commercial,160.0
Commercial,
Commercial,
Commercial,
Commercial,
Commercial,160.0
Residential,
Residential,100.0
Residential,80.0
Residential,
Residential,50.0
Residential,100.0
Residential,50.0
Residential,
Residential,
Residential,100.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,
Residential,50.0
Residential,100.0
Residential,50.0
Residential,50.0
Residential,
Residential,
Residential,50.0
Residential,100.0
Residential,
Residential,100.0
Residential,100.0
Residential,100.0
Residential,
Residential,100.0
Residential,50.0
Residential,50.0
Residential,100.0
Residential,80.0
Residential,50.0
Residential,80.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,80.0
Residential,50.0
Residential,35.0
Residential,30.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,
Residential,50.0
Residential,
Residential,100.0
Residential,30.0
Residential,50.0
Residential,80.0
Residential,100.0
Residential,100.0
Residential,
Residential,50.0
Residential,50.0
Residential,
Residential,50.0
Residential,50.0
Residential,80.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,
Residential,100.0
Residential,100.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,100.0
Residential,50.0
Residential,80.0
Residential,50.0
Residential,80.0
Residential,50.0
Residential,80.0
Residential,50.0
Residential,100.0
Residential,50.0
Residential,50.0
Residential,30.0
Residential,30.0
Residential,20.0
Residential,
Residential,35.0
Residential,30.0
Residential,30.0
Residential,35.0
Residential,25.0
Residential,100.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,
Residential,50.0
Residential,50.0
Residential,100.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,50.0
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
Residential,
